data,turno,premio1,premio2,premio3,premio4,premio5,premio6,premio7,premio8,premio9,premio10
03/10/2022,Noite,2234,5007,1766,3641,5029,0207,1729,5276,2015,2538
03/10/2022,Noite,2234,5007,1766,3641,5029,0207,1729,5276,2015,2538
03/10/2022,Tarde,6790,8700,9249,2811,0944,1915,7308,6220,1103,2328
03/10/2022,Manhã,3151,8620,7273,6327,9686,5824,0409,4753,7914,1891
01/10/2022,Noite,8351,0137,2321,5505,8838,6834,7560,7351,0054,9416
01/10/2022,Tarde,4195,0897,3649,7218,0885,5911,7091,2966,1016,6597
01/10/2022,Manhã,5061,1453,0237,6952,1775,0456,5360,6618,5525,0893
30/09/2022,Noite,2945,7606,3618,8959,9223,3221,6039,2248,6164,9145
30/09/2022,Tarde,0276,6733,9389,9789,5046,0290,4035,1593,9983,6646
30/09/2022,Manhã,7451,5189,8694,8952,6753,8028,4292,3182,4651,2909
29/09/2022,Noite,7374,5419,2800,6546,3650,2509,3265,9122,7748,2279
29/09/2022,Tarde,2300,3185,9015,9663,7950,2979,4010,9576,2269,1254
29/09/2022,Manhã,4953,0400,9837,8349,1498,6093,2081,9391,5182,3456
28/09/2022,Noite,5938,8419,6577,2433,4982,0757,2306,1996,7143,7662
28/09/2022,Tarde,4204,9608,3700,7626,5420,3375,3523,3941,0582,1702
28/09/2022,Manhã,2592,0804,4077,7438,9843,6807,8275,7861,5789,7237
27/09/2022,Noite,1619,3460,4955,1612,0870,2304,0217,2176,5709,2402
27/09/2022,Tarde,4878,6819,4614,0531,8452,7658,2567,5601,9794,1531
27/09/2022,Manhã,8809,1321,5967,5652,2133,1097,5262,3146,5412,4803
26/09/2022,Noite,6545,8357,8311,9531,7450,8069,8388,9774,8384,4980
26/09/2022,Tarde,5561,4865,3226,9913,7253,7899,0507,2947,2040,4830
26/09/2022,Manhã,8800,3694,8129,0853,2391,9096,8191,0566,1063,1612
24/09/2022,Noite,1051,8536,1151,5279,0519,1400,3879,9674,7190,7729
24/09/2022,Tarde,7159,5744,0045,3658,8476,3533,9489,2109,3548,8895
24/09/2022,Manhã,3091,7040,6414,0263,5547,3940,3832,9285,3183,9728
23/09/2022,Noite,5558,5627,5229,7607,5739,5534,3471,1940,9696,5491
23/09/2022,Tarde,5483,5057,9502,7263,3274,5114,9183,2841,5006,9869
23/09/2022,Manhã,0429,4793,5603,4139,5543,1886,7309,5981,7145,3671
22/09/2022,Noite,2826,7938,3794,6518,3339,4826,3946,6345,6435,5155
22/09/2022,Tarde,4317,9415,1009,2118,8459,7967,3739,6123,6042,0062
22/09/2022,Manhã,7236,1665,5072,0545,3440,0453,9305,7003,1644,7325
21/09/2022,Noite,1858,5277,8268,3015,7320,2600,3819,3119,4318,3250
21/09/2022,Noite,1858,5277,8268,3015,7320,2600,3819,3119,4318,3250
21/09/2022,Tarde,7061,6399,7397,2104,9710,6803,6409,2478,2529,6168
21/09/2022,Manhã,1897,2177,6307,5515,9970,9811,6760,0680,1329,2634
20/09/2022,Noite,0291,5106,8064,8964,4356,8464,2921,1399,8582,8392
20/09/2022,Tarde,7751,3464,7931,9726,9257,1321,7836,4078,8928,9991
20/09/2022,Manhã,3632,4480,8151,9344,6325,4818,0794,8992,0206,0069
19/09/2022,Noite,1671,2178,7719,8542,4838,7150,9991,5792,2863,9549
19/09/2022,Tarde,1985,6653,1048,5968,4504,4936,7330,0952,3996,4446
19/09/2022,Manhã,4191,0629,9837,3486,9578,2221,7900,3175,9411,2224
17/09/2022,Noite,1435,5113,6163,0969,5652,3385,9642,6209,7960,9387
17/09/2022,Tarde,8526,4926,8244,3099,9326,4389,5046,8041,8209,0861
17/09/2022,Manhã,4978,0553,9352,9382,9451,0982,9410,0494,0500,3617
16/09/2022,Noite,9068,8416,8233,8002,6151,3858,2142,3489,2344,6445
16/09/2022,Tarde,6167,9483,6090,8213,5362,1604,9700,6343,8479,5832
16/09/2022,Manhã,9882,0750,2009,2542,0172,4074,3796,2193,8884,6162
15/09/2022,Noite,8407,7010,9341,2532,2183,9697,2570,7962,1646,0243
15/09/2022,Tarde,0977,1934,8398,6687,2080,0201,8928,2699,0178,5831
15/09/2022,Manhã,7607,5264,3326,7457,4475,2064,2980,0835,5888,3547
14/09/2022,noite,9074,2641,6779,1496,9933,7428,2758,7486,4679,8076
14/09/2022,Tarde,9766,4806,8760,6057,1418,6512,5436,6957,4328,2580
14/09/2022,Manhã,4982,6353,5960,8830,2468,2874,6530,2996,1475,5222
13/09/2022,Noite,0049,9387,9047,4901,7744,1653,1732,5907,1365,9492
13/09/2022,Tarde,3496,3255,6833,8461,2551,1402,0436,6514,3770,4153
13/09/2022,Manhã,9526,7161,5971,1167,3649,7494,1964,5643,0905,2385
12/09/2022,Noite,9218,6743,6275,5769,6102,9219,6661,4815,1924,5967
12/09/2022,Tarde,4772,0923,5052,9799,6725,9934,1902,4170,3962,1893
12/09/2022,Manhã,9115,4884,3837,9933,8933,4892,0141,6372,9688,2334
10/09/2022,Noite,6615,1052,9853,4490,4252,1220,0063,1007,7889,7318
10/09/2022,Tarde,0442,7413,8509,5283,2041,8080,8297,3395,4591,6855
10/09/2022,Manhã,4950,6576,7069,5440,3757,6086,1510,3800,2419,1654
09/09/2022,Noite,3056,5735,5311,0521,8206,0477,7237,0052,1065,3706
09/09/2022,Noite,3056,5735,5311,0521,8206,0477,7237,0052,1065,3706
09/09/2022,Tarde,4346,3614,7281,9313,3351,5253,6490,2784,6094,6017
09/09/2022,Manhã,4424,6021,2082,3160,6760,8157,0267,5597,3029,5744
08/09/2022,Noite,2077,4387,0906,9815,4322,3302,2550,2204,8516,2283
08/09/2022,Tarde,6293,2299,1689,6488,5506,1471,4744,6381,9554,7316
08/09/2022,Manhã,4899,5864,1974,8207,2065,0437,8305,7310,8761,9419
07/09/2022,Noite,0284,6055,7526,3550,6026,8815,2282,1346,3850,6959
07/09/2022,Tarde,8300,4027,6914,3871,3758,0391,5448,4786,5331,4817
07/09/2022,Manhã,0139,6439,6130,0719,7876,1887,1951,4876,1225,6215
06/09/2022,Noite,6968,0200,2693,3081,0675,6001,5807,8819,4966,4665
06/09/0202,Tarde,3271,1336,3519,2374,9131,4666,8466,7310,2925,0160
06/09/2022,Manhã,5943,6456,9478,6385,7140,6352,2155,0294,5946,8125
05/09/2022,Noite,0083,5272,4842,9915,7657,4571,7755,6786,3938,1806
05/09/2022,Tarde,3127,3520,4024,7621,6398,1144,0275,3920,1067,6376
05/09/2022,Manhã,9789,4596,3833,6617,9668,9679,0987,4183,1442,5321
03/09/2022,Noite,6568,8138,3650,2605,5465,6404,6852,3312,8436,1103
03/09/2022,Tarde,7798,8117,8233,1435,9051,4645,9666,9146,3541,6108
03/09/2022,Manhã,9803,7968,7664,1073,8981,0056,8439,6077,5841,0559
02/09/2022,Noite,9642,8817,8157,6677,9540,4038,6699,5763,4113,9320
02/09/2022,Tarde,8410,2934,1161,9333,9003,6253,0697,6481,5919,6115
02/09/2022,Manhã,3850,8213,8954,4886,3370,5685,3636,3619,7661,3335
01/09/2022,Noite,2609,2915,2413,5189,5833,4871,5641,1648,5282,4676
01/09/2022,Tarde,8704,6564,3344,4017,8875,7401,5116,5912,5626,7184
01/09/2022,Manhã,6995,0424,4563,9836,5946,7578,9145,2924,4271,3422
31/08/2022,Noite,9566,0725,6201,1446,4886,8873,4688,5181,7298,0289
31/08/2022,Tarde,3468,8819,1190,0305,3361,6217,5453,2944,8739,6125
31/08/2022,Manhã,3260,6686,1700,3669,4701,3540,9724,1793,3905,1435
30/08/2022,Noite,2790,6939,6513,4671,3287,8526,2727,4420,2004,9830
30/08/2022,Tarde,0484,1728,7989,9976,1296,3229,7444,8048,1626,7092
30/08/2022,Manhã,4679,5881,1796,9554,1976,2069,2691,1931,7832,4507
29/08/2022,Noite,2770,1538,1538,4299,2123,8759,7096,9860,8308,5177
29/08/2022,Noite,2770,1538,1538,4299,2123,8759,7096,9860,8308,5177
29/08/2022,Tarde,2969,8968,1239,4361,0583,1099,7599,2986,3687,8516
29/08/2022,Manhã,7832,5993,5097,1200,3898,5341,2795,2395,6814,1113
27/08/2022,Noite,3797,2949,8577,3254,7860,4794,1382,3821,9488,9584
27/08/2022,Tarde,4858,8599,8296,7081,0359,9676,4168,3150,2186,1584
27/08/2022,Manhã,4589,4782,6419,4403,3269,3646,0702,4165,8020,5681
26/08/2022,Noite,9948,0302,7299,0866,4238,3476,2902,1301,5676,1165
26/08/2022,Tarde,3047,3502,8925,9223,7067,4806,8308,8495,5570,8075
26/08/2022,Manhã,2591,9990,4121,8478,7692,0467,4733,0519,6277,9913
25/08/2022,Noite,5671,9744,6175,5179,9434,9587,3196,0136,7219,0388
